generation_technology	investment_period	g_overnight_cost	g_fixed_o_m
bioenergy_diesel	2020	2341500	44300
bioenergy_diesel	2025	2341500	44300
bioenergy_diesel	2030	2341500	44300
bioenergy_fuel_oil	2020	2341500	44254
bioenergy_fuel_oil	2025	2341500	44254
bioenergy_fuel_oil	2030	2341500	44254
bioenergy_natural_gas	2020	2359223	35558.7
bioenergy_natural_gas	2025	2359223	35558.7
bioenergy_natural_gas	2030	2359223	35558.7
carboelectric_coal	2020	1899339	36463.6
carboelectric_coal	2025	1899339	36463.6
carboelectric_coal	2030	1899339	36463.6
combined_cycle_natural_gas	2020	910280	16024.8
combined_cycle_natural_gas	2025	910280	16024.8
combined_cycle_natural_gas	2030	910280	16024.8
fluidized_bed_coal	2020	1899339	36463.6
fluidized_bed_coal	2025	1899339	36463.6
fluidized_bed_coal	2030	1899339	36463.6
gas_turbine_diesel	2020	1085000	20058
gas_turbine_diesel	2025	1085000	20058
gas_turbine_diesel	2030	1085000	20058
gas_turbine_natural_gas	2020	622320	7634.45
gas_turbine_natural_gas	2025	622320	7634.45
gas_turbine_natural_gas	2030	622320	7634.45
internal_combustion_diesel	2020	3150526	28000
internal_combustion_diesel	2025	3150526	28000
internal_combustion_diesel	2030	3150526	28000
internal_combustion_fuel_oil	2020	3167700	53203.8
internal_combustion_fuel_oil	2025	3167700	53203.8
internal_combustion_fuel_oil	2030	3167700	53203.8
internal_combustion_natural_gas	2020	3182481	44702
internal_combustion_natural_gas	2025	3182481	44702
internal_combustion_natural_gas	2030	3182481	44702
nuclear_uranium	2020	6405301	98040.5
nuclear_uranium	2025	6405301	98040.5
nuclear_uranium	2030	6405301	98040.5
thermal_diesel	2020	1728420	44300
thermal_diesel	2025	1728420	44300
thermal_diesel	2030	1728420	44300
thermal_fuel_oil	2020	1728420	32104.6
thermal_fuel_oil	2025	1728420	32104.6
thermal_fuel_oil	2030	1728420	32104.6
thermal_natural_gas	2020	1860700	37694
thermal_natural_gas	2025	1860700	37694
thermal_natural_gas	2030	1860700	37694
