PROJECT	proj_gen_tech	proj_load_zone	proj_connect_cost_per_mw	proj_full_load_heat_rate	proj_variable_om	proj_capacity_limit_mw
cipres_tg	gas_turbine_diesel	47-ensenada	99048	17.25118483	3.432	27.43
mexicali	combined_cycle_natural_gas	48-mexicali	99048	7.488151659	3.05	489
mexicali_tg_1	gas_turbine_diesel	48-mexicali	99048	21.13744076	3.432	26
mexicali_tg_2	gas_turbine_diesel	48-mexicali	99048	21.13744076	3.432	18
mexicali_tg_3	gas_turbine_diesel	48-mexicali	99048	21.13744076	3.432	18
presidente_juarez_rosarito	combined_cycle_natural_gas	46-tijuana	99048	10.42654028	3.05	773
presidente_juarez_rosarito5_tc	thermal_fuel_oil	46-tijuana	99048	10.42654028	2.688	160
presidente_juarez_rosarito6_tc	thermal_fuel_oil	46-tijuana	99048	10.42654028	2.688	160
tijuana_1_tg	gas_turbine_natural_gas	46-tijuana	99048	10.23696682	3.432	30
tijuana_2_tg	gas_turbine_natural_gas	46-tijuana	99048	10.23696682	3.432	30
tijuana_3_tg_150mw	gas_turbine_natural_gas	46-tijuana	99048	10.23696682	3.432	150
tijuana_tg_central	gas_turbine_natural_gas	46-tijuana	99048	10.23696682	3.432	135
baja_california_sur_i	internal_combustion_fuel_oil	51-la_paz	99048	9.763033175	6.63	162.7
ciudad_constitucion	gas_turbine_diesel	50-villa_constitucion	99048	18.19905213	3.432	33.22
guerrero_negro	gas_turbine_diesel	53-mulege	99048	26.3507109	3.432	12.5
guerrero_negro_ii	internal_combustion_fuel_oil	53-mulege	99048	9.763033175	6.63	10.8
la_paz_tg1	gas_turbine_diesel	51-la_paz	99048	17.25118483	3.432	18
la_paz_tg2	gas_turbine_diesel	51-la_paz	99048	17.25118483	3.432	25
los_cabos_cfe_25000	gas_turbine_diesel	52-los_cabos	99048	9.099526066	3.432	75
los_cabos_cfe_30000	gas_turbine_diesel	52-los_cabos	99048	10.8056872	3.432	104
los_cabos_1_tg	gas_turbine_diesel	52-los_cabos	99048	17.1563981	3.432	30
