lz,distribution,generation,load
01-hermosillo,3260.27427765,1151.022,586.5638851
02-cananea,826.900841059,874.5,150.2026679
03-obregon,1602.59727765,502.075,302.7633551
04-los_mochis,1390.08685176,320.0,243.2454121
05-culiacan,1568.0538,32.98,289.0871484
06-mazatlan,753.343112353,616.0,146.8456779
07-juarez,1812.03611882,1230.16,484.775098
08-moctezuma,1090.27333671,0.0,262.5784484
09-chihuahua,2981.23812706,1482.6,909.7295726
10-durango,740.136871882,504.46,214.2194115
11-laguna,1793.45037059,1252.095,624.5608903
12-rio_escondido,792.494000235,2888.3,236.5009432
13-nuevo_laredo,597.199997882,2.055,201.1824612
14-reynosa,1538.617,511.123,443.1063471
15-matamoros,718.340424588,1490.0,244.4572864
16-monterrey,10271.0999035,2641.996,2854.241966
17-saltillo,2790.99539765,466.739,774.6258127
18-valles,703.647414706,0.0,198.5340881
19-huasteca,1291.48318471,3544.869,421.5913638
20-tamazunchale,427.962496,1215.0,118.9267486
21-guemez,549.082817765,19.5,141.2223054
22-tepic,975.016114588,1.18,340.8951017
23-guadalajara,4058.59101647,63.7,1718.323119
24-aguascalientes,3243.43799176,9.63,1174.271779
25-san_luis_potosi,1951.99181882,1327.918,658.4634974
26-salamanca,2175.1653,1086.624,706.8880267
27-manzanillo,802.448704941,2753.908,301.5387881
28-carapan,1375.10137529,9.266,491.6024719
29-lazaro_cardenas,1191.28325176,2778.36,505.4192736
30-queretaro,4192.24419882,1500.396,1439.934967
31-central,16853.0039059,3843.226,6538.267901
32-poza_rica,1295.74669647,4206.0,397.5835145
33-veracruz,1415.04625176,2029.8,404.180698
34-puebla,4370.88727059,510.558,1306.344555
35-acapulco,1249.60041529,0.0,356.3313546
36-temascal,1651.23659765,218.325,517.9606161
37-coatzacoalcos,1331.16748588,428.7,450.9551334
38-tabasco,2237.31036706,227.145,597.1970382
39-grijalva,1310.68107294,12.0,340.6296066
40-ixtepec,514.586786706,0.0,139.9280839
41-lerma,741.081867529,411.9,151.5842238
42-merida,1444.39412235,1532.0,332.1017426
43-cancun,1776.42181059,193.2,352.1008193
44-chetumal,217.669669647,52.2,44.84025098
45-cozumel,102.789957976,53.0,21.4027589
46-tijuana,1503.55081765,1439.825,335.203038
47-ensenada,507.969417647,27.43,99.56291688
48-mexicali,2694.59673765,769.62,577.1174801
49-san_luis_rio_colorado,582.005416941,0.0,121.1132883
50-villa_constitucion,82.4367566353,137.35,20.59441844
51-la_paz,463.110819647,318.2,84.61218142
52-los_cabos,604.482746706,263.66,96.13715501
53-mulege,84.0242518588,126.9,13.0
