PROJECT_BUILDYEARS_1	PROJECT_BUILDYEARS_2	BuildProj
valladolid_u1_tc	2025	0.0
magnelec	2025	0.0
draexlmaier_components_automotive_de_mexico	2025	0.0
holbox	2025	0.0
tula_tc_u1	2025	0.0
rio_bravo_iii	2025	0.0
nonoalco_lyfc_u2	2020	0.0
xul_-_ha_u1_tg	2025	0.0
gollek_interamerica	2020	0.0
dos_bocas_u4	2020	0.0
tractebel_energia_de_panuco	2020	0.0
pemex_gas_y_petroquimica_basica_complejo_pro	2025	0.0
la_laguna_u4_tg	2025	0.0
u_movil_de_emergencia_ume-19	2025	0.0
samalayuca_u2	2025	0.0
industrias_derivadas_del_etileno	2020	0.0
poza_rica_u3	2020	0.0
guerrero_negro_ii_tgmovil	2025	0.0
rio_bravo_ii	2025	0.0
los_cabos_cfe_25000	2020	0.0
maquilas_teta_kawi	2020	0.0
monterrey_iii	2025	0.0
ensambles_hyson	2025	0.0
santa_rosalia_u3_ci	2025	0.0
guerrero_negro_ii	2025	0.0
baja_california_sur_i	2020	0.0
la_paz_tg2	2025	0.0
pemex-refinacion_refineria_ing_hector_lara	2025	0.0
mazatlan_ii_u3	2020	0.0
tecnologico	2020	0.0
iberdrola_energia_monterrey	2020	0.0
papelera_industrial_potosina	2025	0.0
fundidora	2020	0.0
polioles	2025	0.0
energia_chihuahua	2020	0.0
norte_ii	2020	0.0
leona_u1	2020	0.0
prueba_28-carapan	2025	0.0
impulsora_mexicana_de_energia	2025	0.0
polimeros_y_derivados_planta	2025	0.0
huinala_ii	2020	0.0
iberdrola_energia_tamazunchale_v	2020	0.0
aragon	2025	0.0
ganaderia_integral_vizur	2025	0.0
met-_mex_penoles	2025	0.0
altamira_u4	2020	0.0
merida_ii_tg	2025	0.0
tuxpan_v	2025	0.0
prueba_37-coatzacoalcos	2025	0.0
pemex-refinacion_refineria_gcoral_lazaro_ca_proy	2025	0.0
chankanaab_u1	2025	5.09564575661375
xul_-_ha_cfe_18000	2020	0.0
enertek	2020	1055.84064740741
parque_de_tecnologia_electronica	2020	0.0
samalayuca_u1	2020	0.0
laguna_verde_central	2025	0.0
ener-g_planta_celaya	2025	0.0
industrial_papelera_mexicana	2020	0.0
agnico_eagle_mexico	2025	0.0
termoelectrica_penoles	2020	0.0
energia_azteca_x	2025	0.0
norte	2020	0.0
mexicana_de_cobre	2025	0.0
dos_bocas_u5	2025	0.0
coyotepec	2025	0.0
gcoradora_pondercel	2020	0.0
ganaderia_integral_sk	2020	0.0
mexicali_tg_1	2020	0.0
fuerza_y_energia_de_hermosillo	2025	71.989655687974
productos_farmaceuticos_plan	2020	0.0
rio_escondido	2025	0.0
compania_cervecera_de_coahuila	2025	0.0
monclova_u1	2025	345.553918306878
graftech_mexico	2025	0.0
cooperativa_la_cruz_azul	2020	0.0
prueba_34-puebla	2025	0.0
prueba_49-san_luis_rio_colorado	2020	0.0
chihuahua_ii	2025	0.0
tuxpan_ii	2025	0.0
manzanillo_central	2025	0.0
posco_mexico	2020	0.0
chankanaab_u2	2025	0.0
dos_bocas_u1	2020	0.0
tuxpan_u2_tc	2020	0.0
puerto_libertad_u1	2020	0.0
santa_rosalia_de_la_chontalpa	2020	0.0
xul_-_ha_u1_tg	2020	0.0
ford_motor_company	2025	0.0
termoelectrica_penoles	2025	0.0
manzanillo_p1	2025	0.0
yecora_u4	2020	0.0
santa_rosalia_u1_u2	2020	0.0
la_paz_tg2	2020	0.0
minera_real_de_angeles_unida	2020	0.0
los_cabos_1_tg	2020	84.8461005608466
tlalnepantla_cogcoracion	2020	0.0
prueba_47-ensenada	2025	0.0
maquilas_teta_kawi	2025	0.0
lerdo_u1	2020	0.0
manzanillo_u3_tc	2025	0.0
hermosillo	2020	0.0
santa_rosalia_u3_ci	2020	0.0
grupo_celanese_complejo_ocot	2025	0.0
manzanillo_u4_tc	2025	0.0
baja_california_sur_i	2025	0.0
zacapu_power	2020	0.0
los_cabos_cfe_30000	2025	0.0
dos_bocas_u6	2020	0.0
fundidora	2025	0.0
la_laguna_u3_tg	2025	0.0
atenco_lyfc	2025	0.0
prueba_40-ixetpec	2025	15.1424747039828
valle_de_mexico	2020	0.0
prueba_36-temascal	2025	0.0
lerma_u2	2020	0.0
energia_san_luis_de_la_paz	2025	0.0
productora_nacional_de_papel	2020	0.0
la_laguna_ii	2020	0.0
gomez_palacio	2025	0.0
prueba_05-culiacan	2025	0.0
proteinas_naturales	2020	0.0
iberdrola_energia_tamazunchale_v	2025	0.0
nizuc_u2	2025	0.0
pemex-gas_y_petroquimica_basica_complejo_pro_g_bur	2020	132.543930582011
los_cabos_cfe_25000	2025	0.0
hermosillo	2025	0.0
rio_bravo_tc	2025	0.0
ciudad_del_carmen_u3	2025	0.0
laboratorios_sophia	2025	0.0
chankanaab_u1	2020	17.5527763597884
enertek	2025	0.0
altamira_u3	2020	0.0
poza_rica_u1	2025	0.0
ciudad_del_carmen_u2	2020	0.0
poza_rica_u2	2025	0.0
csi_en_saltillo	2020	674.687327513228
industrial_caborca_u2	2025	0.0
pemex-refinacion_refineria_ing_antonio_dova	2025	0.0
bio_pappel_printing	2020	2936.05471671958
iberdrola_energia_la_laguna	2020	0.0
zacapu_power	2025	0.0
altamira_v	2020	0.0
prueba_35-acapulco	2020	0.0
lerma_u3	2020	0.0
tuxpan_iii_y_iv	2020	0.0
san_lorenzo_potencia	2025	0.0
tula_tc_u2	2025	0.0
francisco_villa_u5	2020	0.0
ganaderia_integral_sk	2025	0.0
ciudad_del_carmen_u1	2025	0.0
tula	2020	0.0
cooperativa_la_cruz_azul	2025	0.0
lerdo_u2	2025	0.0
francisco_villa_u4	2025	0.0
presidente_juarez_rosarito6_tc	2020	0.0
transalta_chihuahua_iii	2020	0.0
rio_bravo	2025	0.0
merida_ii_tg	2020	0.0
prueba_43-cancun	2020	0.0
bioenergia_de_nuevo_leon	2020	0.0
mexicana_de_cobre	2020	0.0
iberdrola_energia_monterrey	2025	0.0
bsm_energia_de_veracruz	2025	0.0
energia_lactea	2025	0.0
manzanillo_u3_tc	2020	0.0
tmq_gcoracion_energia_renovable	2025	0.0
santa_rosalia_u1_u2	2025	0.0
fersinsa_gb	2025	0.0
guerrero_negro	2020	10.5820105820106
prueba_24-aguascalientes	2025	0.0
los_cabos_1_tg	2025	16.8863386031746
industrial_juarez	2020	882.33221015873
sabritas	2025	0.0
minas_de_la_alta_pimeria	2020	0.0
tuxpan_u4_tc	2020	0.0
agribrands_purina_mexico	2025	0.0
grupo_celanese_complejo_ocot	2020	0.0
parque_u2	2020	0.0
tijuana_2_tg	2020	0.0
energia_chihuahua	2025	0.0
mexicali	2025	0.0
tijuana_tg_central	2025	0.0
ciudad_del_carmen_u1	2020	0.0
prueba_16-monterrey	2025	0.0
la_laguna_u3_tg	2020	0.0
almidones_mexicanos	2020	4077.04885925926
