TRANS_BUILD_YEARS_1	TRANS_BUILD_YEARS_2	BuildTrans
48-47	Legacy	1400.0
22-23	2020	0.0
09-nov	Legacy	700.0
48-49	2020	0.0
dic-16	Legacy	1600.0
12-sep	2025	0.0
19-18	2020	0.0
18-25	2020	0.0
37-36	Legacy	408.0
34-31	2020	0.0
11-oct	2020	0.0
39-36	2020	0.0
29-35	Legacy	1450.0
06-may	2025	110.2362159
30-31	2025	0.0
48-47	2020	0.0
02-ene	2025	0.0
14-16	Legacy	3000.0
39-37	Legacy	1200.0
39-38	2020	0.0
29-26	Legacy	640.0
39-38	2025	0.0
23-29	2020	0.0
26-31	2020	0.0
32-31	2020	0.0
19-16	2020	0.0
32-31	2025	0.0
dic-16	2020	0.0
22-23	2025	0.0
19-16	2025	0.0
23-26	2020	0.0
42-44	Legacy	2100.0
27-23	2020	70.7789044
46-48	Legacy	510.0
46-47	Legacy	200.0
29-26	2020	0.0
25-24	2020	0.0
39-37	2020	0.0
23-29	Legacy	1000.0
36-34	2025	0.0
29-31	Legacy	550.0
27-23	Legacy	180.0
33-36	2025	0.0
19-32	Legacy	500.0
30-25	Legacy	4000.0
02-ago	Legacy	150.0
28-26	2020	0.0
33-32	2020	0.0
19-18	2025	0.0
20-30	2020	0.0
48-49	Legacy	1250.0
oct-24	2025	0.0
42-43	2025	0.0
15-14	2020	0.0
23-24	Legacy	960.0
16-17	2025	0.0
23-26	Legacy	700.0
38-41	2025	0.0
11-oct	2025	0.0
12-sep	Legacy	1200.0
28-26	Legacy	54.0
29-28	2020	0.0
17-24	2025	0.0
30-31	Legacy	310.0
29-31	2020	0.0
29-28	2025	0.0
39-38	Legacy	300.0
18-25	Legacy	1500.0
19-20	Legacy	600.0
04-may	Legacy	550.0
41-42	Legacy	370.0
16-17	Legacy	1380.0
42-44	2025	0.0
20-30	Legacy	1150.0
23-24	2020	0.0
26-30	2025	0.0
23-28	2020	0.0
nov-17	2020	0.0
23-29	2025	0.0
23-28	2025	0.0
06-oct	Legacy	2900.0
jun-22	Legacy	800.0
30-25	2025	0.0
19-18	Legacy	700.0
32-34	2020	0.0
24-26	2025	0.0
16-17	2020	0.0
35-34	Legacy	90.0
34-31	Legacy	500.0
14-13	2025	0.0
25-24	Legacy	1500.0
26-31	Legacy	500.0
03-abr	2020	0.0
32-34	Legacy	1450.0
20-31	Legacy	1300.0
11-oct	Legacy	1200.0
14-16	2025	0.0
nov-17	Legacy	1050.0
41-42	2020	0.0
06-oct	2020	0.0
39-36	2025	0.0
29-35	2025	0.0
48-47	2025	0.0
20-31	2020	0.0
07-nov	2025	0.0
41-44	Legacy	870.0
dic-13	Legacy	100.0
09-nov	2020	0.0
29-26	2025	0.0
32-31	Legacy	640.0
17-24	Legacy	400.0
09-nov	2025	0.0
25-24	2025	0.0
02-ene	Legacy	800.0
07-nov	2020	0.0
29-35	2020	0.0
41-44	2020	0.0
42-43	Legacy	650.0
20-30	2025	0.0
38-41	Legacy	1200.0
02-ago	2025	0.0
33-34	2025	0.0
42-44	2020	0.0
08-sep	2025	0.0
23-28	Legacy	2800.0
08-sep	2020	0.0
33-36	Legacy	440.0
33-34	Legacy	1200.0
dic-16	2025	0.0
24-26	2020	0.0
02-ene	2020	0.0
02-ago	2020	0.0
14-13	Legacy	300.0
27-23	2025	50.7598837
35-34	2025	0.0
06-may	Legacy	600.0
26-31	2025	0.0
07-nov	Legacy	1500.0
36-35	Legacy	1700.0
23-26	2025	0.0
33-34	2020	0.0
39-37	2025	0.0
oct-24	Legacy	330.0
12-sep	2020	0.0
19-32	2020	0.0
38-41	2020	0.0
33-36	2020	0.0
30-31	2020	0.0
37-36	2020	0.0
17-24	2020	0.0
19-20	2025	0.0
37-36	2025	0.0
35-34	2020	0.0
04-may	2020	0.0
29-31	2025	0.0
19-20	2020	0.0
19-16	Legacy	1500.0
oct-24	2020	0.0
41-44	2025	0.0
04-may	2025	0.0
30-25	2020	0.0
41-42	2025	0.0
46-48	2025	0.0
jun-22	2020	0.0
46-47	2025	0.0
36-34	2020	0.0
46-48	2020	0.0
23-24	2025	0.0
33-32	2025	0.0
19-32	2025	0.0
28-26	2025	0.0
34-31	2025	0.0
dic-13	2020	0.0
26-30	2020	0.0
dic-13	2025	0.0
36-35	2025	0.0
22-23	Legacy	1200.0
42-43	2020	0.0
32-34	2025	0.0
18-25	2025	0.0
06-oct	2025	0.0
46-47	2020	87.7936852799999
26-30	Legacy	2100.0
48-49	2025	0.0
nov-17	2025	0.0
33-32	Legacy	750.0
jun-22	2025	0.0
15-14	2025	0.0
20-31	2025	0.0
24-26	Legacy	1400.0
03-abr	Legacy	315.0
14-16	2020	0.0
36-34	Legacy	3000.0
06-may	2020	124.8596997
36-35	2020	0.0
03-abr	2025	0.0
39-36	Legacy	2000.0
14-13	2020	0.0
15-14	Legacy	350.0
29-28	Legacy	2500.0
08-sep	Legacy	550.0
