PROJ_DISPATCH_POINTS_1	PROJ_DISPATCH_POINTS_2	DispatchProj
huixtla_energia	2	-0.0
lerdo_u1	3	-0.0
tijuana_2_tg	3	-0.0
mazatlan_ii_u2	4	-0.0
energreen_energia_pi	2	-0.0
pemex-petroquimica_complejo_petroquimico_ind	4	-0.0
manzanillo_central	2	-0.0
villa_de_reyes_u1	2	-0.0
pemex-petroquimica_comp_petro_pajaritos	2	820.0045273
sabritas	4	-0.0
altamira_v	1	-0.0
tmq_gcoracion_energia_renovable	4	-0.0
atlatec	1	-0.0
dos_bocas_u5	2	-0.0
kellogg_de_mexico	1	0.0
iberdrola_energia_monterrey	4	-0.0
prueba_31-central	3	-0.0
carbon_ii_u2	2	-0.0
mission_hills	1	0.0
destileria_del_golfo	4	-0.0
chankanaab_u2	3	0.0
francisco_villa_u4	4	-0.0
graftech_mexico	3	0.0
tuxpan_v	2	-0.0
prueba_37-coatzacoalcos	3	-0.0
cancun_tg2	1	0.0
termoelectrica_del_golfo	4	-0.0
yecora_u1	2	-0.0
lerdo_u2	4	-0.0
bsm_energia_de_veracruz	3	-0.0
bio_pappel	1	1617.9543224
pemex-petroquimica_complejo_petroquimico_cos	4	-0.0
destileria_del_golfo	3	-0.0
presidente_juarez_rosarito6_tc	4	-0.0
santa_rosalia_u3_ci	2	-0.0
san_lorenzo_potencia	1	-0.0
pemex-gas_y_petroquimica_basica_complejo_pro_g_bur	3	135.279354
deacero_power	2	-0.0
guaymas_ii_u2	1	-0.0
presidente_juarez_rosarito	3	-0.0
gollek_interamerica	1	0.0
monterrey_iii	3	-0.0
urrea_herramientas_profesionales	4	-0.0
cancun_tg5	1	0.0
ciudad_del_carmen_u1	3	-0.0
dos_bocas_u1	4	-0.0
la_laguna_u3_tg	4	-0.0
papelera_industrial_potosina	1	-0.0
los_cabos_cfe_30000	4	-0.0
nizuc_u1	3	-0.0
puerto_libertad_u1	2	-0.0
minas_de_la_alta_pimeria	2	-0.0
prueba_28-carapan	2	-0.0
presidente_juarez_rosarito	4	-0.0
prueba_18-valles	4	-0.0
prueba_36-temascal	3	-0.0
san_carlos_u2	4	-0.0
dos_bocas_u1	3	-0.0
pemex-refinacion_refineria_ing_hector_lara	2	-0.0
prueba_39-grijalva	1	-0.0
poza_rica_u1	2	-0.0
grupo_celanese_complejo_ocot	1	-0.0
merida_ii_u2_tc	2	-0.0
cuautitlan_lyfc	4	-0.0
victoria_lyfc	1	-0.0
chihuahua_ii	4	-0.0
huicot	4	-0.0
lerma_u3	4	-0.0
productora_nacional_de_papel	1	0.0
tablex_miller	2	-0.0
guaymas_ii_u1	2	-0.0
norte	3	-0.0
topolobampo_ii_u2	4	-0.0
valladolid_u1_tc	2	-0.0
dos_bocas_u4	1	-0.0
san_carlos_u2	3	0.0
styrolution_mexicana	1	-0.0
transalta_chihuahua_iii	1	-0.0
altamira_u3	2	-0.0
tula_tc_u4	3	-0.0
tuxpan_u5_tc	2	-0.0
guaymas_ii_u4	2	-0.0
fuerza_y_energia_de_hermosillo	3	555.9566837
transformadora_de_energia_electrica_de_juarez	1	-0.0
norte	4	-0.0
huinala_ii	3	-0.0
cancun_tg3	2	-0.0
huinala	3	-0.0
aragon	4	5038.6917656
pemex-refinacion_refineria_francisco_i_made	2	-0.0
energia_azteca_x	1	-0.0
