TRANS_TIMEPOINTS_1	TRANS_TIMEPOINTS_2	TRANS_TIMEPOINTS_3	DispatchTrans
33-veracruz	34-puebla	1	0.0
34-puebla	36-temascal	4	0.0
16-monterrey	17-saltillo	2	38.7855250999998
36-temascal	34-puebla	1	986.3038171
32-poza_rica	31-central	4	640.0
25-san_luis_potosi	18-valles	2	173.3501726
34-puebla	33-veracruz	4	1154.180698
24-aguascalientes	10-durango	3	0.0
14-reynosa	13-nuevo_laredo	2	75.6626014
24-aguascalientes	23-guadalajara	4	0.0
26-salamanca	31-central	2	0.0
23-guadalajara	29-lazaro_cardenas	2	0.0
31-central	20-tamazunchale	3	0.0
22-tepic	06-mazatlan	3	712.930743
39-grijalva	36-temascal	4	0.0
02-cananea	08-moctezuma	2	0.0
17-saltillo	11-laguna	4	0.0
10-durango	24-aguascalientes	3	0.0
32-poza_rica	33-veracruz	1	0.0
13-nuevo_laredo	12-rio_escondido	2	0.0
47-ensenada	48-mexicali	1	188.2307684
20-tamazunchale	31-central	1	0.0
46-tijuana	48-mexicali	3	408.16133051
05-culiacan	04-los_mochis	2	470.6615785
26-salamanca	28-carapan	4	0.0
29-lazaro_cardenas	23-guadalajara	1	0.0
36-temascal	37-coatzacoalcos	3	257.2888179
09-chihuahua	08-moctezuma	3	0.0
38-tabasco	39-grijalva	2	300.0
38-tabasco	41-lerma	4	880.62703668
12-rio_escondido	09-chihuahua	4	697.8346452
41-lerma	42-merida	4	370.0
03-obregon	04-los_mochis	4	0.0
26-salamanca	23-guadalajara	1	0.0
35-acapulco	34-puebla	4	0.0
31-central	32-poza_rica	2	0.0
26-salamanca	24-aguascalientes	2	62.3748154999995
26-salamanca	29-lazaro_cardenas	4	0.0
15-matamoros	14-reynosa	3	0.0
42-merida	44-chetumal	4	0.0
48-mexicali	46-tijuana	1	0.0
31-central	34-puebla	1	500.0
03-obregon	04-los_mochis	3	0.0
18-valles	25-san_luis_potosi	4	0.0
17-saltillo	16-monterrey	2	0.0
14-reynosa	15-matamoros	1	216.8160078
12-rio_escondido	13-nuevo_laredo	3	100.0
37-coatzacoalcos	39-grijalva	4	298.79887676
14-reynosa	16-monterrey	1	0.0
26-salamanca	30-queretaro	2	0.0
26-salamanca	23-guadalajara	3	0.0
11-laguna	17-saltillo	2	0.0
23-guadalajara	26-salamanca	2	650.2680216
29-lazaro_cardenas	35-acapulco	3	0.0
34-puebla	33-veracruz	3	396.8835563
36-temascal	39-grijalva	2	0.0
49-san_luis_rio_colorado	48-mexicali	2	0.0
27-manzanillo	23-guadalajara	1	0.0
06-mazatlan	05-culiacan	3	791.5201867
31-central	29-lazaro_cardenas	2	550.0
31-central	32-poza_rica	1	345.4669228
36-temascal	34-puebla	2	2396.174737
16-monterrey	17-saltillo	3	0.0
10-durango	24-aguascalientes	4	21.7933174000002
28-carapan	29-lazaro_cardenas	3	0.0
36-temascal	35-acapulco	1	1470.3866957
13-nuevo_laredo	14-reynosa	4	0.0
32-poza_rica	34-puebla	4	0.0
34-puebla	36-temascal	1	0.0
37-coatzacoalcos	36-temascal	1	408.0
23-guadalajara	24-aguascalientes	3	960.0
31-central	30-queretaro	4	0.0
23-guadalajara	29-lazaro_cardenas	1	0.0
10-durango	06-mazatlan	3	217.7726396
22-tepic	06-mazatlan	2	0.0
29-lazaro_cardenas	26-salamanca	1	249.7806826
38-tabasco	41-lerma	3	740.46741322
46-tijuana	47-ensenada	1	287.79368528
30-queretaro	31-central	3	310.0
32-poza_rica	34-puebla	1	0.0
30-queretaro	31-central	4	0.0
20-tamazunchale	31-central	2	0.0
34-puebla	32-poza_rica	4	39.474747
46-tijuana	48-mexicali	4	510.0
05-culiacan	04-los_mochis	3	517.5177525
31-central	26-salamanca	1	0.0
19-huasteca	20-tamazunchale	2	0.0
29-lazaro_cardenas	31-central	4	0.0
44-chetumal	41-lerma	1	0.0
16-monterrey	14-reynosa	1	688.2537805
09-chihuahua	08-moctezuma	2	0.0
23-guadalajara	27-manzanillo	1	242.0089118
38-tabasco	39-grijalva	3	0.0
23-guadalajara	22-tepic	2	283.5101271
29-lazaro_cardenas	28-carapan	1	96.4346604000007
19-huasteca	32-poza_rica	2	0.0
19-huasteca	16-monterrey	4	0.0
30-queretaro	20-tamazunchale	4	0.0
25-san_luis_potosi	24-aguascalientes	3	0.0
24-aguascalientes	25-san_luis_potosi	1	0.0
12-rio_escondido	16-monterrey	4	0.0
39-grijalva	38-tabasco	2	0.0
28-carapan	26-salamanca	1	54.0
24-aguascalientes	17-saltillo	1	400.0
