PROJ_FUEL_DISPATCH_POINTS_1	PROJ_FUEL_DISPATCH_POINTS_2	PROJ_FUEL_DISPATCH_POINTS_3	ProjFuelUseRate
alimentos_kowi	2	diesel	0.0
termoelectrica_penoles	2	coal	0.0
innophos_fosfatados_de_mexico_aut	1	natural_gas	0.0
tlalnepantla_cogcoracion	1	natural_gas	0.0
termoelectrica_del_golfo	2	coal	0.0
fuerza_y_energia_de_hermosillo	1	natural_gas	3247.93518528486
poza_rica_u1	1	fuel_oil	0.0
parque_u3	2	diesel	0.0
huinala_ii	4	natural_gas	0.0
almidones_mexicanos	4	natural_gas	80897.6880711859
grupo_celanese_complejo_ocot	1	fuel_oil	0.0
prueba_35-acapulco	4	fuel_oil	0.0
u_movil_de_emergencia_ume-19	2	fuel_oil	0.0
santa_rosalia_u3_ci	4	fuel_oil	0.0
graftech_mexico	4	diesel	0.0
prueba_43-cancun	2	fuel_oil	0.0
valle_de_mexico_tc_u2	4	fuel_oil	0.0
tula_tc_u3	3	fuel_oil	0.0
altamira_v	2	natural_gas	0.0
lerma_u4	1	fuel_oil	0.0
manzanillo_u4_tc	1	fuel_oil	0.0
ford_motor_company	1	diesel	0.0
laboratorios_sophia	3	natural_gas	0.0
parque_de_tecnologia_electronica	3	diesel	0.0
prueba_43-cancun	4	fuel_oil	0.0
lerma_u4	2	fuel_oil	0.0
poza_rica_u3	2	fuel_oil	0.0
nizuc_u2	2	diesel	0.0
u_movil_de_emergencia_ume-18	2	fuel_oil	0.0
industrial_papelera_mexicana	1	natural_gas	0.0
urrea_herramientas_profesionales	4	natural_gas	0.0
presidente_juarez_rosarito	2	natural_gas	0.0
prueba_38-tabasco	3	fuel_oil	0.0
yecora_u4	3	fuel_oil	0.0
coyotepec	4	natural_gas	0.0
merida_iii	2	natural_gas	0.0
petacalco	4	coal	0.0
monclova_u1	2	natural_gas	0.0
pemex-gas_y_petroquimicabasica_complejo_pro_cactus	1	natural_gas	0.0
pemex-gas_y_petroquimica_basica_complejo_pro_1	3	natural_gas	17617.6060445413
tula_tc_u4	2	fuel_oil	0.0
mexichem_resinas_vinilicas	3	natural_gas	0.0
rio_bravo_tc	4	natural_gas	0.0
manzanillo_u3_tc	3	fuel_oil	0.0
nonoalco_lyfc_u2	1	natural_gas	0.0
tractebel_energia_de_monterrey	4	natural_gas	0.0
kellogg_de_mexico	3	natural_gas	0.0
csi_en_saltillo	2	natural_gas	5801.67150233564
rio_bravo_iii	3	natural_gas	0.0
villa_de_reyes_u2	1	fuel_oil	0.0
tula	3	natural_gas	0.0
proteinas_naturales	3	natural_gas	0.0
puerto_libertad_u2	2	fuel_oil	0.0
rio_bravo_tc	2	natural_gas	0.0
minas_de_la_alta_pimeria	1	diesel	0.0
cobielec	3	natural_gas	0.0
tuxpan_u3_tc	2	fuel_oil	0.0
yecora_u3	3	fuel_oil	0.0
cancun_tg3	1	diesel	0.0
tijuana_tg_central	1	natural_gas	0.0
pemex-gas_y_petroquimica_basica_complejo_pro_2	4	natural_gas	0.0
mabe_mexico_planta_sal	4	diesel	0.0
tijuana_tg_central	4	natural_gas	0.0
ciudad_constitucion	2	diesel	303.924537463891
el_palacio_de_hierro_guadalajara	1	diesel	0.0
iberdrola_energia_la_laguna	3	natural_gas	0.0
gcoradora_pondercel	1	fuel_oil	0.0
tlalnepantla_cogcoracion	3	natural_gas	0.0
tijuana_tg_central	3	natural_gas	0.0
samalayuca_ii	2	natural_gas	0.0
pemex-refinacion_refineria_gcoral_lazaro_ca	1	natural_gas	0.0
tijuana_1_tg	2	natural_gas	10518.6518158912
alimentos_kowi	1	diesel	0.0
grupo_celanese_complejo_ocot	4	fuel_oil	0.0
topolobampo_ii_u1	4	fuel_oil	0.0
tula_tc_u1	1	fuel_oil	0.0
valle_de_mexico_tc_u3	4	fuel_oil	0.0
draexlmaier_components_automotive_de_mexico	1	diesel	0.0
tlalnepantla_cogcoracion	2	natural_gas	0.0
celulosa_de_fibras_mexicanas	4	natural_gas	0.0
compania_cervecera_de_coahuila	3	fuel_oil	0.0
huinala_tg	3	natural_gas	0.0
italaise	2	natural_gas	27103.1777759953
chihuahua_ii	2	natural_gas	0.0
kellogg_de_mexico	2	natural_gas	0.0
cancun_tg2	4	diesel	0.0
dos_bocas_u3	3	natural_gas	0.0
huinala_tg	1	natural_gas	0.0
industrial_juarez	4	natural_gas	17381.0026350615
transalta_campeche	4	natural_gas	0.0
valladolid_u1_tc	2	fuel_oil	0.0
tractebel_energia_de_panuco	4	natural_gas	0.0
chihuahua_ii	3	natural_gas	0.0
tula_tc_u5	4	fuel_oil	0.0
la_paz_tg2	2	diesel	0.0
pemex-refinacion_refineria_miguel_hidalgo	4	fuel_oil	0.0
zacapu_power	4	fuel_oil	0.0
guaymas_ii_u3	1	fuel_oil	0.0
energia_chihuahua	1	natural_gas	0.0
ingenio_la_gloria	2	fuel_oil	0.0
prueba_39-grijalva	1	fuel_oil	0.0
cogcoracion_salamanca	2	natural_gas	0.0
villa_de_reyes_u1	4	fuel_oil	0.0
los_cabos_cfe_30000	4	diesel	0.0
prueba_47-ensenada	3	fuel_oil	0.0
chavez_u2	3	natural_gas	0.0
rio_bravo_iii	2	natural_gas	0.0
