load_zone	timestamp	LZ_NetDispatch	LZ_TXNet	lz_demand_mw	DumpPower
47-ensenada	20160128	0.0	99.56291687999999	99.56291688	2.8421709430404e-14
47-ensenada	20190215	0.0	90.29376069999999	90.2937607	2.8421709430404e-14
47-ensenada	20210128	0.0	86.85367238999999	86.85367239	2.8421709430404e-14
47-ensenada	20230215	0.0	92.99639226000008	92.99639226	2.8421709430404e-14
21-guemez	20160128	125.2540144	0.0	125.2540144	-0.0
21-guemez	20190215	123.308351	0.0	123.308351	-0.0
21-guemez	20210128	135.279354	0.0	135.279354	-0.0
21-guemez	20230215	141.2223054	0.0	141.2223054	-0.0
08-moctezuma	20160128	-0.0	215.8128784999999	215.8128785	-0.0
08-moctezuma	20190215	-0.0	219.19503309999996	219.1950331	-0.0
08-moctezuma	20210128	-0.0	245.37176769999996	245.3717677	-0.0
08-moctezuma	20230215	-0.0	262.5784484000001	262.5784484	-0.0
35-acapulco	20160128	-0.0	309.6222355	309.6222355	-0.0
35-acapulco	20190215	-0.0	320.5083737	320.5083737	-0.0
35-acapulco	20210128	-0.0	349.89809249999996	349.8980925	-0.0
35-acapulco	20230215	-0.0	356.3313546	356.3313546	-0.0
30-queretaro	20160128	2170.2174599	-1014.5548779	1155.662582	-0.0
30-queretaro	20190215	2182.7368364	-985.1950024	1197.541834	-2.27373675443232e-13
30-queretaro	20210128	3299.0794027	-1886.1582247000001	1412.921178	2.27373675443232e-13
30-queretaro	20230215	3299.0794027	-1859.1444357	1439.934967	2.27373675443232e-13
53-mulege	20160128	10.0	0.0	10	-0.0
53-mulege	20190215	10.0	0.0	10	-0.0
53-mulege	20210128	12.0	0.0	12	-0.0
53-mulege	20230215	13.0	0.0	13	-0.0
50-villa_constitucion	20160128	17.17599727	0.0	17.17599727	-0.0
50-villa_constitucion	20190215	16.70002016	0.0	16.70002016	-0.0
50-villa_constitucion	20210128	19.26665214	0.0	19.26665214	-0.0
50-villa_constitucion	20230215	20.59441844	0.0	20.59441844	-0.0
11-laguna	20160128	623.7592184	-110.43345090000003	513.3257675	-0.0
11-laguna	20190215	623.7592184	-102.38876390000007	521.3704545	1.13686837721616e-13
11-laguna	20210128	188.0819133	395.551704	583.6336173	2.8421709430404e-14
11-laguna	20230215	623.7592184	0.8016718999999739	624.5608903	2.27373675443232e-13
40-ixtepec	20160128	121.5858374	0.0	121.5858374	-0.0
40-ixtepec	20190215	125.8607249	0.0	125.8607249	-0.0
40-ixtepec	20210128	137.4018003	0.0	137.4018003	-0.0
40-ixtepec	20230215	139.9280839	0.0	139.9280839	-0.0
17-saltillo	20160128	287.0373089	400.0	687.0373089	-0.0
17-saltillo	20190215	637.5795245	38.7855250999998	676.3650496	-2.8421709430404e-14
17-saltillo	20210128	637.5795245	104.448296	742.0278205	-2.8421709430404e-14
17-saltillo	20230215	637.5795245	137.04628819999994	774.6258127	1.13686837721616e-13
39-grijalva	20160128	0.0	295.9787258	295.9787258	-0.0
39-grijalva	20190215	0.0	306.3851661	306.3851661	-0.0
39-grijalva	20210128	0.0	334.4798264	334.4798264	-0.0
39-grijalva	20230215	0.0	340.6296066	340.6296066	-0.0
43-cancun	20160128	0.0	262.6521795	262.6521795	-0.0
43-cancun	20190215	0.0	272.8820094	272.8820094	-0.0
43-cancun	20210128	0.0	296.060843	296.060843	-0.0
43-cancun	20230215	0.0	352.1008193	352.1008193	-0.0
28-carapan	20160128	0.0	394.5501671999997	394.5501672	-0.0
28-carapan	20190215	0.0	408.8479963	408.8479963	-0.0
28-carapan	20210128	428.3798018	54.0	482.3798018	-0.0
28-carapan	20230215	428.3798018	63.2226701	491.6024719	-0.0
23-guadalajara	20160128	3852.811172	-2473.719908999999	1379.091263	1.70530256582424e-13
23-guadalajara	20190215	3852.811172	-2423.74398	1429.067192	3.41060513164848e-13
23-guadalajara	20210128	4689.3989525	-3003.3123015	1686.086651	-2.27373675443232e-13
23-guadalajara	20230215	4689.3989525	-2971.0758334999996	1718.323119	1.70530256582424e-13
27-manzanillo	20160128	0.0	242.0089118	242.0089118	-0.0
27-manzanillo	20190215	0.0	250.7789044	250.7789044	-0.0
27-manzanillo	20210128	0.0	295.881793	295.881793	-0.0
27-manzanillo	20230215	0.0	301.5387881	301.5387881	-0.0
25-san_luis_potosi	20160128	0.0	528.4694397999999	528.4694398	-0.0
25-san_luis_potosi	20190215	0.0	547.6202763999995	547.6202764	-0.0
25-san_luis_potosi	20210128	0.0	646.1104439000001	646.1104439	-0.0
25-san_luis_potosi	20230215	0.0	658.4634974	658.4634974	-0.0
01-hermosillo	20160128	489.5102315	19.6247237	509.1349552	-0.0
01-hermosillo	20190215	489.5102315	16.1100087	505.6202402	-0.0
01-hermosillo	20210128	555.9566837	0.0	555.9566837	-0.0
01-hermosillo	20230215	555.9566837	30.6072014	586.5638851	-0.0
37-coatzacoalcos	20160128	820.0045273	-428.162118	391.8424093	5.6843418860808e-14
37-coatzacoalcos	20190215	820.0045273	-414.3851661	405.6193612	5.6843418860808e-14
37-coatzacoalcos	20210128	820.0045273	-377.19100849999995	442.8135188	1.13686837721616e-13
37-coatzacoalcos	20230215	820.0045273	-369.0493939	450.9551334	5.6843418860808e-14
09-chihuahua	20160128	0.0	747.7055293	747.7055293	-0.0
09-chihuahua	20190215	0.0	759.4233455	759.4233455	-0.0
09-chihuahua	20210128	0.0	850.1152882	850.1152882	-0.0
09-chihuahua	20230215	0.0	909.7295725999999	909.7295726	-1.13686837721616e-13
33-veracruz	20160128	0.0	351.1993251	351.1993251	-0.0
33-veracruz	20190215	0.0	363.5472896	363.5472896	-0.0
33-veracruz	20210128	0.0	396.8835563	396.8835563	-0.0
33-veracruz	20230215	0.0	404.1806979999999	404.180698	-0.0
05-culiacan	20160128	0.0	250.92641419999995	250.9264142	-0.0
05-culiacan	20190215	0.0	249.19419199999993	249.194192	-0.0
05-culiacan	20210128	0.0	274.0024341999999	274.0024342	-1.13686837721616e-13
05-culiacan	20230215	0.0	289.08714840000005	289.0871484	-0.0
